drug_id,ingredient_id,quantity_mg,role
D001,I001,400.0,Active
D001,I031,150.0,Inactive
D001,I033,25.0,Inactive
D001,I034,5.0,Inactive
D002,I002,100.0,Active
D002,I032,80.0,Inactive
D002,I034,3.0,Inactive
D003,I003,50.0,Active
D004,I004,50.0,Active
D005,I005,25.0,Active
D006,I006,500.0,Active
D007,I007,5.0,Active
D007,I031,100.0,Inactive
D007,I032,50.0,Inactive
D007,I034,5.0,Inactive
D008,I008,325.0,Active
D009,I009,10.0,Active
D010,I010,40.0,Active
D011,I011,5.0,Active
D012,I012,40.0,Active
D013,I013,0.25,Active
D014,I014,150.0,Active
D015,I015,500.0,Active
D016,I016,80.0,Active
D017,I017,200.0,Active
D017,I031,80.0,Inactive
D017,I034,4.0,Inactive
D018,I018,500.0,Active
D019,I019,500.0,Active
D019,I032,75.0,Inactive
D019,I035,20.0,Inactive
D020,I020,0.1,Active
D021,I021,20.0,Active
D022,I022,2.5,Active
D023,I023,75.0,Active
D024,I024,50.0,Active
D025,I025,40.0,Active
D026,I026,10.0,Active
D027,I027,300.0,Active
D028,I028,25.0,Active
D029,I029,150.0,Active
D030,I030,250.0,Active
